title,date,keywords,keyphrase,popular words
The Time to Rebuild the Travel Industry Is Now: Start a Journey With Digitalization,13 Oct 2021,"['travel', 'sustainability', 'innovate', 'digitalization', 'airline']","['digitalization travel', 'rebuild travel', 'journey digitalization', 'travel industry']","[('customer', 13), ('travel', 12), ('experience', 9), ('service', 7), ('need', 6), ('industry', 5), ('business', 5), ('create', 5), ('new', 5), ('possibility', 4)]"
Taking the high road towards sustainable mobility,6 Oct 2021,"['mobility', 'sustainability', 'infrastructure', 'organisation', 'journey']","['sustainable mobility', 'mobility sustainable', 'mobility business', 'organisations mobility']","[('mobility', 32), ('sustainable', 16), ('sustainability', 16), ('new', 16), ('design', 15), ('service', 15), ('centric', 12), ('business', 10), ('change', 10), ('people', 10)]"
Futucare - taking care of your software ,1 Oct 2021,"['maintenance', 'customer', 'service', 'futucare', 'manage']","['service futucare', 'maintaining customer', 'continuous services', 'maintenance services']","[('service', 19), ('development', 9), ('customer', 7), ('maintenance', 6), ('futucare', 5), ('software', 5), ('continuous', 4), ('happy', 4), ('client', 4), ('need', 4)]"
Cabin in the (low-code) woods,30 Sept 2021,"['tool', 'developer', 'codecamp', 'digitalization', 'prototype']","['code technologies', 'new tools', 'digital development', 'development platforms']","[('platform', 52), ('code', 24), ('user', 17), ('datum', 16), ('service', 14), ('development', 13), ('require', 13), ('cost', 13), ('build', 12), ('external', 12)]"
How to achieve Data Mesh teams and culture?,23 Sept 2021,"['organisation', 'organisational', 'infrastructure', 'agile', 'culture']","['mesh organisations', 'data governance', 'mesh teams', 'data mesh']","[('datum', 33), ('team', 29), ('mesh', 25), ('domain', 19), ('small', 9), ('product', 9), ('need', 9), ('way', 8), ('organisation', 8), ('start', 7)]"
FutuStories - Phil and what they love about their job as Senior Tech Consultant,22 Sept 2021,"['coffee', 'maker', 'idea', 'client', 'tangible']","['making coffees', 'coffees teammates', 'making coffee', 'maker making']","[('work', 9), ('like', 7), ('people', 7), ('futurice', 7), ('make', 5), ('want', 5), ('thing', 5), ('love', 4), ('client', 4), ('team', 4)]"
The role of technology in data mesh architecture,10 Sept 2021,"['cloud', 'architectural', 'infrastructure', 'datum', 'mesh']","['data infrastructure', 'data landscape', 'data mesh', 'cloud technologies']","[('datum', 54), ('domain', 28), ('team', 27), ('mesh', 24), ('technology', 18), ('data', 18), ('product', 18), ('infrastructure', 17), ('share', 13), ('platform', 13)]"
Open Sourcing futuLog,31 Aug 2021,"['futulog', 'log', 'office', 'register', 'github']","['futulog internally', 'futulog uses', 'futulog open', 'license futulog']","[('office', 16), ('futulog', 7), ('people', 7), ('use', 7), ('allow', 6), ('page', 6), ('case', 5), ('open', 4), ('license', 4), ('want', 4)]"
Have you tried Deno yet?,27 Aug 2021,"['node_module', 'node', 'typescript', 'deno', 'javascript']","['node js', 'node_modules deno', 'node deno', 'node_modules npm']","[('deno', 28), ('code', 14), ('file', 12), ('install', 9), ('try', 8), ('let', 8), ('need', 7), ('score', 7), ('library', 7), ('node', 6)]"
"FutuStories - Meet Joana, Design Director",25 Aug 2021,"['design', 'designer', 'art', 'creativity', 'stuttgart']","['designers future', 'future designers', 'design director', 'design services']","[('design', 14), ('people', 9), ('experience', 7), ('work', 7), ('human', 6), ('different', 6), ('feel', 6), ('find', 6), ('communication', 5), ('team', 5)]"
Futurice launches a new subsidiary: Recordly,19 Aug 2021,"['datum', 'database', 'digitalization', 'recordlydata', 'futurice']","['data business', 'data futurice', 'data company', 'data engineering']","[('datum', 22), ('recordly', 15), ('business', 13), ('company', 10), ('futurice', 8), ('\n', 8), ('engineering', 7), ('data', 5), ('management', 5), ('opportunity', 5)]"
Simo Leisti appointed as Futurice Group CEO,10 Aug 2021,"['ceo', 'simo', 'leisti', 'innovation', 'fujitsu']","['ceo simo', 'simo leadership', 'new ceo', 'simo leisti']","[('company', 14), ('futurice', 11), ('simo', 9), ('leisti', 9), ('ceo', 8), ('continue', 7), ('lead', 7), ('growth', 6), ('group', 5), ('moisala', 5)]"
Creating more inclusive products and services with the Inclusion canvas,2 Aug 2021,"['inclusive', 'capability', 'organisation', 'collaborative', 'service']","['creating inclusive', 'inclusion organization', 'inclusive products', 'inclusive workplace']","[('team', 17), ('diverse', 16), ('inclusion', 15), ('canvas', 15), ('service', 14), ('diversity', 12), ('product', 11), ('create', 10), ('tool', 10), ('inclusive', 9)]"
Verification of zero-downtime deployments using GitHub Actions ,30 Jul 2021,"['downtime', 'deployment', 'serverless', 'timeout', 'automate']","['downtime deployments', 'downtime deploying', 'downtime deployment', 'zero downtime']","[('load', 24), ('downtime', 15), (' ', 14), ('testing', 13), ('application', 13), ('job', 11), ('deployment', 10), ('run', 10), ('code', 9), ('start', 9)]"
Minimum viable IoT platform with Serverless framework and DynamoDB,9 Jul 2021,"['dynamodb', 'serverless', 'iot', 'aw', 'nosql']","['dynamodb serverless', 'framework dynamodb', 'serverless framework', 'leveraging serverless']","[('user', 17), ('system', 14), ('time', 13), ('datum', 13), ('dynamodb', 11), ('sensor', 10), ('function', 10), ('measurement', 10), ('database', 9), ('value', 9)]"
"Halfway through the year – how are we doing on our Diversity, Equity and Inclusion goals?",2 Jul 2021,"['inclusiveness', 'diversity', '2021', 'initiative', 'gender']","['inclusion goals', 'goals diversity', 'diversity goal', 'gender diversity']","[('goal', 25), ('work', 18), ('leadership', 10), ('tech', 10), ('gender', 10), ('dei', 9), ('term', 9), ('people', 9), ('year', 8), ('inclusive', 8)]"
Building an AWS Serverless system: Integration testing and accessing Private VPC resources ,29 Jun 2021,"['test', 'serverless', 'untestable', 'vpc', 'aw']","['integration testing', 'tests integration', 'aws serverless', 'serverless integration']","[('test', 71), (' ', 27), ('run', 18), ('instance', 18), ('github', 14), ('create', 13), ('database', 13), ('command', 13), ('testing', 12), ('private', 12)]"
"Building an AWS Serverless system: Provisioned concurrency, Zero-Downtime and Monitoring",27 Jun 2021,"['lambda', 'serverless', 'downtime', 'aw', 'concurrency']","['aws lambda', 'lambdas temporarily', 'serverless downtime', 'aws serverless']","[('lambda', 41), ('concurrency', 21), ('provisioned', 20), ('api', 19), ('gateway', 17), (' ', 14), ('downtime', 13), ('need', 13), ('lambdas', 11), ('aws', 10)]"
Building an AWS Serverless system — conveniently ,27 Jun 2021,"['serverless', 'aw', 'cloudfront', 'api', 'service']","['aws serverless', 'service aws', 'serverless service', 'aws easy']","[('environment', 35), ('production', 20), (' ', 18), ('create', 15), ('terraform', 14), ('test', 14), ('system', 13), ('resource', 13), ('aws', 12), ('way', 11)]"
A guide to accessible design for connected products and services,21 Jun 2021,"['accessibility', 'accessible', 'device', 'design', 'touchpoint']","['products accessibility', 'designing accessibility', 'accessible experiences', 'accessible design']","[('accessibility', 26), ('product', 20), ('accessible', 14), ('design', 13), ('user', 13), ('service', 12), ('disability', 10), ('technology', 9), ('designer', 9), ('\n', 9)]"
Helping the health sector evolve with digital innovation tools,4 Jun 2021,"['medtech', 'innovation', 'healthcare', 'innovate', 'service']","['new medtech', 'medtech comes', 'innovation increasingly', 'innovation tools']","[('health', 29), ('kit', 28), ('connected', 15), ('problem', 13), ('help', 12), ('work', 12), ('service', 10), ('design', 10), ('case', 10), ('way', 10)]"
Case study: How to test a service under production load before going to production,1 Jun 2021,"['test', 'nodejs', 'runtime', 'production', 'typescript']","['testing production', 'tests running', 'testing service', 'production run']","[('api', 47), ('data', 37), ('traffic', 29), ('new', 26), ('request', 25), ('production', 20), ('old', 17), ('client', 16), ('application', 15), ('load', 14)]"
Why do many companies struggle with platform ecosystems?,28 May 2021,"['ecosystem', 'business', 'stakeholder', 'platform', 'organisation']","['platform ecosystems', 'platform ecosystem', 'ecosystem businesses', 'business ecosystem']","[('ecosystem', 65), ('company', 39), ('business', 32), ('platform', 29), ('datum', 14), ('\n', 14), ('value', 12), ('e.g.', 12), ('challenge', 10), ('clear', 9)]"
Knowing what you know – the rise of the knowledge-centric organisation,27 May 2021,"['organisation', 'knowledge', 'nordic', 'innovate', 'capability']","['nordic organisations', 'organisational knowledge', 'nordic organizations', 'workplaces nordics']","[('knowledge', 25), ('work', 15), ('organisation', 10), ('culture', 8), ('need', 8), ('know', 7), ('future', 7), ('people', 6), ('survey', 5), ('develop', 5)]"
Celebrating our people certified in accessibility,20 May 2021,"['accessibility', 'accessible', 'disability', 'awareness', 'celebrate']","['accessibility awareness', 'awareness accessibility', 'accessibility certification', 'dedicated accessibility']","[('accessibility', 24), ('\n', 11), ('certification', 10), ('people', 7), ('use', 7), ('certify', 6), ('program', 6), ('web', 6), ('iaap', 6), ('exam', 5)]"
VR Ohjus Runs on Data and Design,11 May 2021,"['datum', 'railroad', 'ohju', 'vr', 'manage']","['experiences data', 'data experiences', 'train service', 'vr ohjus']","[('user', 18), ('datum', 12), ('design', 9), ('train', 9), ('service', 9), ('ohjus', 8), ('  ', 8), ('project', 8), ('need', 8), ('data', 7)]"
Satellite monitoring of electricity networks,7 May 2021,"['satellite', 'satellite', 'monitor', 'availability', 'earthcache']","['satellite data', 'monitoring satellite', 'data satellites', 'satellite monitoring']","[('datum', 29), ('satellite', 28), ('image', 24), ('vegetation', 21), ('area', 20), ('resolution', 12), ('monitoring', 9), ('pixel', 9), ('use', 8), ('change', 7)]"
The Great Adventure: One Futuricean’s career journey through our offices,6 May 2021,"['nadia', 'futuricean', 'career', 'experience', 'journey']","['nadia experiences', 'futurice nadia', 'business nadia', 'nadia worked']","[('nadia', 33), ('futurice', 24), ('office', 15), ('work', 13), ('business', 12), ('company', 12), ('munich', 12), ('people', 12), ('career', 10), ('time', 10)]"
Bridging Sectors: Future Fleets with James Buxton,4 May 2021,"['ev', 'tesla', 'customer', 'audi', 'sector']","['ev infrastructure', 'ev fleets', 'ev fleet', 'choosing evs']","[('fleet', 32), ('energy', 21), ('vehicle', 20), ('challenge', 15), ('ev', 13), ('need', 12), ('manager', 11), ('provider', 11), ('charge', 10), ('adoption', 10)]"
Bridging Sectors: Community and Mobility with Imogen Pierce,27 Apr 2021,"['sustainability', 'infrastructure', 'electrification', 'mobility', 'city']","['drives cities', 'energy mobility', 'community mobility', 'sustainability solutions']","[('city', 21), ('mobility', 15), ('datum', 14), ('public', 13), ('need', 13), ('route', 12), ('vehicle', 10), ('energy', 10), ('charge', 10), ('bus', 8)]"
Experiences of Data-driven Design from Futurice Exponential,21 Apr 2021,"['futurice', 'knowledge', 'datum', 'organizational', 'design']","['experiences data', 'design futurice', 'design data', 'data driven']","[('design', 13), ('work', 13), ('datum', 13), ('user', 13), ('data', 10), ('designer', 9), ('search', 7), ('scientist', 6), ('numan', 6), ('product', 6)]"
Bridging Sectors: A Look at Battery Solutions for Mobility with Jacqui Murray,21 Apr 2021,"['electrification', 'faraday', 'battery', 'researcher', 'sector']","['faraday institution', 'battery technologies', 'discuss batteries', 'collaborators battery']","[('battery', 43), ('uk', 30), ('technology', 18), ('energy', 14), ('industry', 13), ('see', 13), ('challenge', 11), ('faraday', 11), ('need', 10), ('grid', 10)]"
How to get remote onboarding right,20 Apr 2021,"['onboarde', 'onboarde', 'remotely', 'welcome', 'tip']","['onboarding challenging', 'experience onboarding', 'onboarding people', 'remote onboarding']","[('onboarding', 15), ('help', 11), ('work', 10), ('new', 8), ('remote', 7), ('newbie', 7), ('day', 6), ('company', 6), ('like', 6), ('face', 6)]"
Reinventing the Postcard with Data Portraits,19 Apr 2021,"['postcard', 'postcard', 'communication', 'personalize', 'innovative']","['reinventing postcard', 'postcard innovative', 'ordinary postcard', 'postcard like']","[('postcard', 19), ('data', 16), ('portrait', 15), ('datum', 13), ('time', 9), ('personal', 8), ('sender', 7), ('way', 7), ('design', 7), ('simple', 6)]"
How Spice Program supported my creation of 235,15 Apr 2021,"['rust', 'cli', 'program', 'finnish', 'spice']","['rust developers', 'software rust', 'rust project', 'rust program']","[('235', 11), ('rust', 11), ('open', 9), ('source', 9), ('project', 9), ('thing', 9), ('work', 8), ('program', 7), ('language', 7), ('code', 7)]"
Bridging Sectors: A Net-Zero Approach to Energy and Mobility with Lucy Yu,13 Apr 2021,"['infrastructure', 'mobility', 'energy', 'emission', 'net']","['energy mobility', 'technology energy', 'energy infrastructure', 'future energy']","[('energy', 28), ('system', 15), ('net', 11), ('zero', 11), ('customer', 9), ('solution', 9), ('mobility', 8), ('smart', 8), ('change', 7), ('need', 7)]"
Bridging Sectors: The Changing EV Environment with Carl Bayliss,8 Apr 2021,"['ev', 'eco', 'renewable', 'infrastructure', 'centrica']","['ev infrastructure', 'demand ev', 'ev energy', 'supply ev']","[('ev', 27), ('energy', 26), ('customer', 21), ('vehicle', 12), ('evs', 12), ('need', 11), ('supplier', 11), ('grid', 10), ('car', 10), ('environment', 9)]"
Future is where design meets data,7 Apr 2021,"['innovate', 'future', 'design', 'datum', 'ibm']","['data capabilities', 'data embracing', 'data designers', 'future data']","[('datum', 22), ('design', 16), ('data', 7), ('work', 7), ('designer', 7), ('future', 6), ('company', 6), ('service', 6), ('start', 5), ('business', 5)]"
"Data mesh - what is it, what are its benefits and when to consider it?",22 Mar 2021,"['mesh', 'datum', 'architectural', 'insight', 'benefit']","['data mesh', 'mesh benefits', 'mesh data', 'mesh architectural']","[('datum', 95), ('mesh', 54), ('data', 50), ('platform', 31), ('team', 23), ('domain', 18), ('architecture', 17), ('approach', 16), ('business', 15), ('organization', 12)]"
The full electrification of mobility infrastructure,19 Mar 2021,"['sustainability', 'mobility', 'infrastructure', 'renewable', 'electrification']","['sustainability mobility', 'sustainable mobility', 'mobility sector', 'green infrastructure']","[('mobility', 25), ('sustainable', 22), ('solution', 20), ('sustainability', 19), ('chris', 19), ('infrastructure', 17), ('sector', 15), ('ev', 15), ('option', 14), ('charge', 12)]"
I’m certified! Professional growth and development at Futurice,18 Mar 2021,"['certification', 'train', 'azure', 'development', 'futurice']","['cloud certification', 'certifications futurice', 'development certifications', 'getting certified']","[('program', 8), ('learning', 6), ('certification', 6), ('cloud', 6), ('futurice', 5), ('learn', 5), ('work', 5), ('certify', 4), ('people', 4), ('opportunity', 4)]"
 The rules of React hooks—and how we messed up,12 Mar 2021,"['useeffect', 'useeffect', 'react', 'usestate', 'hook']","['react hooks', 'hooks react', 'hooks useeffect', 'useeffect hook']","[('hook', 30), ('react', 27), ('rule', 16), ('component', 15), ('function', 13), ('state', 12), ('start', 10), ('learn', 8), ('effect', 8), ('useeffect', 8)]"
People of Tammerforce: Taru,8 Mar 2021,"['developereducation', 'tammerforce', 'taru', 'engineeringjoine', 'career']","['software developereducation', 'tammerforce taru', 'taru tammerforce', 'taru tammerforceans']","[('taru', 17), ('work', 9), ('software', 9), ('team', 6), ('futurice', 6), ('development', 6), ('job', 5), ('learn', 5), ('tammerforce', 4), ('summer', 4)]"
People of Tammerforce: Antti,8 Mar 2021,"['tech', 'tammerforce', 'codecademy', 'antti', 'consultancy']","['computer sciencejoined', 'tech leadeducation', 'university tampere', 'tammerforce antti']","[('antti', 14), ('work', 14), ('software', 11), ('futurice', 7), ('client', 7), ('tammerforce', 5), ('different', 5), ('consultancy', 5), ('role', 5), ('study', 5)]"
Building a more digital healthcare sector with the Connected Health Kit,8 Mar 2021,"['digitalization', 'healthcare', 'service', 'futurice', 'tech']","['healthcare digital', 'digital healthcare', 'digital health', 'connected health']","[('kit', 30), ('healthcare', 24), ('digital', 20), ('health', 18), ('connected', 16), ('use', 15), ('service', 11), ('design', 10), ('process', 10), ('workflow', 10)]"
People of Tammerforce: Joona,8 Mar 2021,"['designereducation', 'joona', 'joonaposition', 'tammer', 'skilled']","['joona career', 'tammerforce joona', 'designer joonaposition', 'working joona']","[('joona', 15), ('work', 12), ('design', 10), ('futurice', 9), ('client', 5), ('tammerforce', 4), ('hand', 4), ('feel', 4), ('need', 4), ('say', 4)]"
People of Tammerforce: Anni,8 Mar 2021,"['anni', 'futuricean', 'tammerforce', 'tampere', 'employee']","['tammerforce anni', 'role anni', 'anni job', 'anni career']","[('anni', 14), ('futurice', 9), ('tammerforce', 8), ('team', 8), ('work', 7), ('career', 5), ('learn', 5), ('want', 5), ('human', 5), ('care', 5)]"
People of Tammerforce: Enni,8 Mar 2021,"['futurice', 'enni', 'futuricean', 'futucare', 'tammerforce']","['tammerforce enni', 'futurice summer', 'company enni', 'futurice 2019']","[('enni', 15), ('futurice', 9), ('join', 7), ('summer', 7), ('tammerforce', 6), ('different', 6), ('futucare', 5), ('lot', 5), ('project', 5), ('development', 5)]"
People of Tammerforce: Juan,8 Mar 2021,"['juan', 'juanposition', 'tammer', 'applicant', 'technologyjoine']","['tammerforce juan', 'juan recruitment', 'technology juan', 'development juan']","[('juan', 19), ('futurice', 11), ('work', 7), ('recruitment', 7), ('team', 6), ('people', 4), ('tammerforce', 4), ('lahti', 4), ('information', 4), ('interested', 4)]"
People of Tammerforce: Rudolf,8 Mar 2021,"['tammerforce', 'futurice', 'tammerforcean', 'rudolfposition', 'coacheducation']","['tammerforce rudolf', 'rudolf futurice', 'futurice tech', 'studiesjoined tammerforce']","[('rudolf', 15), ('futurice', 9), ('day', 7), ('client', 5), ('people', 4), ('tammerforce', 4), ('finland', 4), ('work', 4), ('agile', 3), ('experience', 3)]"
"Interview with Mobility Expert Albert Vogl-Bader, Carployee",8 Feb 2021,"['mobility', 'commute', 'commuter', 'carpoole', 'occupancy']","['predictive mobility', 'sustainable commuter', 'mobility habits', 'commuter mobility']","[('mobility', 37), ('change', 11), ('carployee', 10), ('datum', 9), ('work', 9), ('model', 8), ('habit', 8), ('future', 8), ('commuting', 7), ('global', 6)]"
"In the energy market, data is the new sustainable revenue source",5 Feb 2021,"['energy', 'monetize', 'revenue', 'investment', 'regulation']","['energy market', 'energy business', 'revenue streams', 'energy companies']","[('datum', 32), ('business', 15), ('energy', 14), ('value', 11), ('new', 9), ('revenue', 9), ('company', 8), ('build', 8), ('collect', 8), ('start', 7)]"
"Smart Mobility Webinar #6: UK Public Transport, The Road to Recovery",4 Feb 2021,"['mobility', 'provider', 'innovation', 'handle', 'tfl']","['tfl services', 'communications tfl', 'mobility service', 'tfl sustainability']","[('change', 16), ('service', 15), ('tfl', 14), ('national', 14), ('express', 14), ('digital', 14), ('work', 10), ('bring', 10), ('lner', 9), ('team', 9)]"
"Energy Expert Interview with Henrik Schapp, GreenCom Networks",25 Jan 2021,"['renewable', 'infrastructure', 'decentralise', 'tesla', 'greencom']","['decentralised energy', 'energy sector', 'energy providers', 'renewables greencom']","[('energy', 46), ('renewable', 16), ('customer', 10), ('greencom', 9), ('sector', 9), ('iot', 8), ('need', 8), ('asset', 8), ('generation', 8), ('demand', 8)]"
How we co-created our technology strategy – and what we learned in the process,7 Jan 2021,"['technological', 'technology', 'strategy', 'tech', 'agile']","['technology strategy', 'tech strategy', 'create technology', 'technology business']","[('strategy', 34), ('technology', 23), ('business', 15), ('people', 14), ('level', 14), ('process', 13), ('work', 12), ('tech', 12), ('need', 11), ('specialty', 10)]"
"Interview with Dr. Anne Sophie Geier, Spitzenverband Digitale Gesundheitsversorgung e.V.",7 Jan 2021,"['digitale', 'gesundheitsversorgung', 'healthcare', 'provider', 'spitzenverband']","['digitale gesundheitsversorgung', 'german healthcare', 'healthcare digital', 'digital healthcare']","[('health', 20), ('healthcare', 18), ('digital', 16), ('need', 13), ('care', 11), ('digitale', 9), ('solution', 9), ('new', 9), ('system', 8), ('germany', 8)]"
The power shift: How will decentralized markets change the energy industry?  ,4 Jan 2021,"['renewable', 'market', 'consumer', 'electricity', 'decentralise']","['energy markets', 'markets energy', 'market energy', 'energy market']","[('energy', 71), ('community', 31), ('market', 27), ('company', 16), ('decentralized', 14), ('storage', 11), ('demand', 11), ('datum', 9), ('change', 8), ('benefit', 8)]"
Best Practices for Creating Fast Business Value from Data and Analytics,29 Dec 2020,"['analytic', 'business', 'datum', 'capability', 'efficiency']","['developing analytics', 'analytics solutions', 'analytics based', 'analytics using']","[('datum', 18), ('business', 16), ('fortum', 11), ('user', 11), ('end', 10), ('value', 9), ('analytic', 9), ('vr', 9), ('system', 8), ('create', 7)]"
"Care, space and time – building community spirit during the pandemic",23 Dec 2020,"['community', 'pandemic', 'care', 'embrace', 'tip']","['building community', 'embrace community', 'strengthen community', 'community strengthen']","[('community', 12), ('space', 8), ('people', 8), ('care', 7), ('create', 7), ('team', 7), ('coffee', 7), ('remote', 7), ('work', 6), ('year', 5)]"
Futurice Has Earned the Modernization of Web Applications to Microsoft Azure Advanced Specialization,15 Dec 2020,"['azure', 'cloud', 'application', 'workload', 'deployment']","['advanced azure', 'azure futurice', 'implement azure', 'azure specialization']","[('azure', 11), ('web', 10), ('microsoft', 8), ('advanced', 7), ('modernization', 6), ('specialization', 6), ('partner', 6), ('futurice', 5), ('applications', 5), ('service', 5)]"
Futuriceans coming together to address gender bias in tech,11 Dec 2020,"['project', 'gender', 'ideate', 'futurice', 'innovation']","['gender biases', 'gender bias', 'innovation women', 'female developers']","[('woman', 39), ('2019', 18), ('girl', 17), ('man', 16), ('technology', 16), ('gender', 14), ('research', 14), ('bias', 12), ('male', 12), ('female', 12)]"
Design activism for a better world: every day tools,8 Dec 2020,"['canvas', 'canvas', 'client', 'design', 'innovation']","['new canvases', 'client projects', 'canvases client', 'design activism']","[('need', 12), ('canvas', 11), ('small', 10), ('win', 10), ('service', 10), ('new', 9), ('impact', 9), ('tool', 7), ('question', 7), ('creation', 6)]"
Girls Takeover: A Memorable Day as the CEO of Futurice,8 Dec 2020,"['gender', 'takeover', 'tech', 'jessica', 'opportunity']","['girls takeover', 'changing gender', 'roles female', 'increasing gender']","[('girl', 11), ('futurice', 9), ('technology', 8), ('want', 6), ('day', 5), ('learn', 5), ('improve', 5), ('opportunity', 5), ('feel', 5), (' ', 5)]"
5 Energy Trends to Watch Out for in 2021,2 Dec 2020,"['customer', 'trend', 'stakeholder', 'energy', 'infrastructure']","['energy trends', 'consumers energy', 'energy providers', 'trends energy']","[('energy', 31), ('customer', 13), ('company', 13), ('grid', 11), ('need', 9), ('change', 8), ('market', 8), ('datum', 8), ('centricity', 6), ('smart', 6)]"
20+ quotes about being a summer intern at Futurice,1 Dec 2020,"['summer', 'intern', 'onboarde', 'career', 'develop']","['summer intern', 'summer job', 'summer hire', 'experience summer']","[('summer', 46), ('worker', 27), ('developer', 20), ('software', 18), ('futurice', 15), ('learn', 13), ('work', 11), ('project', 8), ('2017', 8), ('senior', 8)]"
A new job in the Year of Corona – how was it?,24 Nov 2020,"['career', 'tampere', 'office', 'miika', 'overwatch']","['tampere office', 'tampere hobbies', 'studying tampere', 'miika developer']","[('people', 12), ('futurice', 11), ('work', 11), ('feel', 11), ('like', 9), ('tampere', 8), ('career', 6), ('interview', 6), ('new', 5), ('time', 5)]"
Smarter operations through data and analytics,13 Nov 2020,"['enterprise', 'analytic', 'logistic', 'operation', 'incrementally']","['analytics business', 'enterprise data', 'incrementally business', 'erp tools']","[('business', 20), ('datum', 19), ('operation', 13), ('need', 13), ('analytic', 10), ('end', 9), ('enable', 8), ('time', 8), ('system', 8), ('case', 7)]"
FutuStories - Nine things I've learned by Antti,11 Nov 2020,"['collaboration', 'task', 'organize', 'agile', 'client']","['collaboratively deliver', 'team collaboration', 'solution collaboratively', 'agile collaborative']","[('experience', 10), ('work', 9), ('different', 9), ('culture', 9), ('time', 8), ('good', 7), ('thing', 6), ('learn', 6), ('mean', 6), ('team', 6)]"
FutuStories - One Day with Software & Business Developer Antti,11 Nov 2020,"['developer', 'client', 'communicate', 'reward', 'antti']","['developers focus', 'doing development', 'software developer', 'development work']","[('work', 17), ('community', 6), ('inspire', 6), ('thing', 6), ('people', 6), ('developer', 5), ('outside', 5), ('new', 5), ('enjoy', 5), ('day', 4)]"
"Predictive Healthcare: Mobile, Continuous Diagnostics and Data Collection with Brain Computer Interfaces",10 Nov 2020,"['epilepsy', 'epileptic', 'seizure', 'electroencephalography', 'diagnostic']","['feasible epilepsy', 'seizure activity', 'emily epilepsy', 'seizures using']","[('datum', 20), ('model', 20), ('eeg', 12), ('seizure', 11), ('\n', 10), ('set', 9), ('emg', 8), ('health', 6), ('activity', 6), ('signal', 6)]"
Smart Mobility Webinar #5: How to Become Future-capable in Auto Retail,6 Nov 2020,"['retail', 'dealership', 'automotive', 'mobility', 'webinar']","['auto retail', 'automotive retail', 'retail discussed', 'interaction dealerships']","[('retail', 9), ('future', 8), ('auto', 8), ('customer', 6), ('webinar', 5), ('need', 4), ('journey', 4), ('recent', 3), ('conversation', 3), ('simon', 3)]"
"Interview with Jens Waldmann, Founder adjutem",2 Nov 2020,"['medtech', 'biomedical', 'clinical', 'manufacturer', 'adjutem']","['challenges medtech', 'adjutem medtech', 'transforming medtech', 'medtech industry']","[('product', 22), ('need', 15), ('device', 14), ('company', 14), ('medical', 13), ('regulatory', 13), ('user', 10), ('small', 9), ('medtech', 9), ('industry', 9)]"
My Open Source Journey,28 Oct 2020,"['library', 'itune', 'software', 'file', 'metadata']","['open source', 'files itunes', 'metadata itunes', 'metadata software']","[('time', 16), ('start', 11), ('work', 11), ('learn', 10), ('open', 9), ('source', 9), ('get', 9), ('language', 9), ('haskell', 9), ('programming', 8)]"
"FutuStories - Meet Bence, Junior Designer ",27 Oct 2020,"['designer', 'design', 'opportunity', 'car', 'futurice']","['car designer', 'designer studied', 'designer car', 'designer futurice']","[('futurice', 10), ('office', 10), ('designer', 7), ('want', 7), ('culture', 6), ('people', 6), ('design', 5), ('new', 5), ('car', 5), ('time', 5)]"
"Energy Expert Interview with Chris Baumann, tado°",26 Oct 2020,"['thermostat', 'thermostat', 'heat', 'energy', 'smart']","['smart thermostats', 'smart energy', 'thermostats smart', 'energy thermostats']","[('energy', 26), ('user', 24), ('datum', 19), ('smart', 19), ('tado', 10), ('°', 9), ('product', 9), ('thermostat', 9), ('use', 8), ('time', 7)]"
Why the future of medtech depends on world-class digital services,23 Oct 2020,"['medtech', 'digital', 'hardware', 'service', 'technology']","['digital service', 'services digital', 'embrace digital', 'future medtech']","[('service', 25), ('patient', 18), ('user', 17), ('digital', 15), ('healthcare', 15), ('device', 13), ('medtech', 12), ('need', 12), ('industry', 11), ('end', 11)]"
The three vital components of a data-enabled organisation,8 Oct 2020,"['datum', 'organizational', 'leadership', 'implement', 'strategy']","['data governance', 'data strategy', 'organizational data', 'data mindset']","[('data', 34), ('datum', 32), ('organisation', 11), ('enable', 10), ('strategy', 10), ('governance', 10), ('culture', 10), ('business', 9), ('value', 8), ('employee', 7)]"
Data-enabled organisations are resilient and innovative ,8 Oct 2020,"['datum', 'analytic', 'organisation', 'capability', 'innovation']","['data organizations', 'organisations data', 'adopting data', 'data insights']","[('data', 24), ('datum', 23), ('organisation', 12), ('enable', 10), ('new', 10), ('company', 9), ('innovation', 8), ('change', 8), ('organization', 6), ('decision', 6)]"
Lean Enterprise Architecture: The Company API,7 Oct 2020,"['apis', 'architecture', 'cloud', 'enterprise', 'resilient']","['api architecture', 'api ecosystems', 'enterprise architecture', 'company api']","[('api', 13), ('company', 10), ('business', 7), ('datum', 7), ('system', 7), ('architecture', 6), ('need', 6), ('build', 5), ('critical', 4), ('cloud', 4)]"
5 React Native takeaways - one year later,29 Sept 2020,"['react', 'native', 'firebase', 'developer', 'app']","['react native', 'app react', 'developing react', 'native developers']","[('native', 35), ('react', 28), ('app', 19), ('project', 13), ('time', 12), ('developer', 10), ('experience', 10), ('version', 9), ('platform', 9), ('test', 9)]"
"Interview with Jaakko Nurkka, Co-Founder Cliniserve",25 Sept 2020,"['cliniserve', 'nursing', 'hospital', 'shortage', 'service']","['personnel cliniserve', 'shortage nursing', 'nursing staff', 'cliniserve utilizing']","[('hospital', 27), ('care', 20), ('patient', 19), ('personnel', 14), ('nurse', 14), ('healthcare', 13), ('datum', 12), ('cliniserve', 9), ('coordination', 9), ('time', 9)]"
